ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-01-02 00:00:00+00:00,35,43,16548,67.28,67.56,65.44,65.76,287305,UNG
2020-01-03 00:00:00+00:00,35,43,16548,65.48,66.8,64.48,65.44,190850,UNG
2020-01-06 00:00:00+00:00,35,43,16548,66.28,67.12,65.36,66.64,253339,UNG
2020-01-07 00:00:00+00:00,35,43,16548,65.76,67.24,65.12,66.08,200390,UNG
2020-01-08 00:00:00+00:00,35,43,16548,66.8,67.48,65.4,66.56,148516,UNG
2020-01-09 00:00:00+00:00,35,43,16548,65.72,67.04,65.16,66.96,164440,UNG
2020-01-10 00:00:00+00:00,35,43,16548,66.36,69.02,66.36,68.2,255021,UNG
2020-01-13 00:00:00+00:00,35,43,16548,68.48,68.68,66.92,67.52,244753,UNG
2020-01-14 00:00:00+00:00,35,43,16548,67.88,69.68,67.24,67.6,203069,UNG
2020-01-15 00:00:00+00:00,35,43,16548,67.04,67.56,65.12,65.92,258830,UNG
2020-01-16 00:00:00+00:00,35,43,16548,66.0,66.98,63.84,63.92,266120,UNG
2020-01-17 00:00:00+00:00,35,43,16548,63.88,63.88,61.92,61.92,471156,UNG
2020-01-21 00:00:00+00:00,35,43,16548,59.6,60.72,58.28,59.72,516687,UNG
2020-01-22 00:00:00+00:00,35,43,16548,59.48,60.22,59.2,59.6,185786,UNG
2020-01-23 00:00:00+00:00,35,43,16548,60.2,61.08,59.36,59.8,196952,UNG
2020-01-24 00:00:00+00:00,35,43,16548,58.72,58.84,58.0,58.52,280602,UNG
2020-01-27 00:00:00+00:00,35,43,16548,60.2,60.76,58.32,58.76,261642,UNG
2020-01-28 00:00:00+00:00,35,43,16548,58.8,60.2,58.4,59.88,166816,UNG
2020-01-29 00:00:00+00:00,35,43,16548,59.16,59.28,58.12,58.76,155952,UNG
2020-01-30 00:00:00+00:00,35,43,16548,57.96,58.32,56.76,57.08,248506,UNG
2020-01-31 00:00:00+00:00,35,43,16548,57.36,58.0,57.2,57.56,184025,UNG
